taxon	min_age	max_age
Silesaurus	227.3	233.6
Lesothosaurus	192.9	201.4
Hypsilophodon	121.4	125.77
Dryosaurus	143.1	154.8
Scutellosaurus	184.2	201.4
Emausaurus	174.7	184.2
Scelidosaurus	192.9	199.5
Huayangosaurus	154.8	170.9
Kentrosaurus	143.1	161.5
Stegosaurus	143.1	154.8
Kunbarrasaurus	100.5	106.3
Sauropelta	93.9	121.4
Struthiosaurus	66	83.6
Silvisaurus	100.5	106.3
Jinyunpelta	100.5	113.2
Pinacosaurus	72.2	89.8
Euoplocephalus	72.2	83.6
Edmontonia	66	83.6
